GEO.id,GEOID,GEO.display-label,P003001,HD02_VD01,HD01_VD02,HD02_VD02,P003003,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US45013010200,45013010200,"Census Tract 102, Beaufort County, South Carolina",3332,409,2945,357,57,55,0,13,80,90,0,13,250,225,0,13,0,13,0,13
1400000US45013010300,45013010300,"Census Tract 103, Beaufort County, South Carolina",4166,469,3898,426,25,26,0,13,36,58,0,13,102,164,105,140,0,13,105,140
1400000US45013010400,45013010400,"Census Tract 104, Beaufort County, South Carolina",5729,567,4635,539,882,341,0,18,26,32,0,18,86,124,100,157,0,18,100,157
1400000US45013010500,45013010500,"Census Tract 105, Beaufort County, South Carolina",3803,415,2426,351,696,179,29,33,58,60,0,13,544,395,50,72,50,72,0,13
1400000US45013010600,45013010600,"Census Tract 106, Beaufort County, South Carolina",4108,350,4008,333,6,8,0,13,75,86,0,13,0,13,19,34,0,13,19,34
1400000US45013010700,45013010700,"Census Tract 107, Beaufort County, South Carolina",4557,320,4407,382,130,160,0,13,13,22,0,13,0,13,7,14,0,13,7,14
1400000US45013010800,45013010800,"Census Tract 108, Beaufort County, South Carolina",3813,545,1490,472,990,369,23,38,0,13,0,13,1310,476,0,13,0,13,0,13
1400000US45013010900,45013010900,"Census Tract 109, Beaufort County, South Carolina",1552,180,1392,192,133,105,0,13,27,25,0,13,0,13,0,13,0,13,0,13
1400000US45013011000,45013011000,"Census Tract 110, Beaufort County, South Carolina",1695,308,1335,324,243,135,3,4,35,49,0,13,79,74,0,13,0,13,0,13
1400000US45013011100,45013011100,"Census Tract 111, Beaufort County, South Carolina",2221,287,2067,310,33,35,0,13,0,13,0,13,112,180,9,14,0,13,9,14
1400000US45013011200,45013011200,"Census Tract 112, Beaufort County, South Carolina",667,148,655,142,0,13,0,13,0,13,0,13,4,6,8,18,0,13,8,18
1400000US45013011300,45013011300,"Census Tract 113, Beaufort County, South Carolina",1423,257,1314,216,0,13,0,13,0,13,0,13,109,138,0,13,0,13,0,13
1400000US45013990100,45013990100,"Census Tract 9901, Beaufort County, South Carolina",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US45015020101,45015020101,"Census Tract 201.01, Berkeley County, South Carolina",3061,372,1189,204,1835,310,0,13,0,13,0,13,11,19,26,42,0,13,26,42
1400000US45015020102,45015020102,"Census Tract 201.02, Berkeley County, South Carolina",4040,535,2630,468,1363,400,32,31,0,13,0,13,7,15,8,15,0,13,8,15
1400000US45015020201,45015020201,"Census Tract 202.01, Berkeley County, South Carolina",4346,669,1894,415,2426,627,12,20,0,13,0,13,14,23,0,13,0,13,0,13
1400000US45015020202,45015020202,"Census Tract 202.02, Berkeley County, South Carolina",2868,449,184,202,2684,399,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US45015020301,45015020301,"Census Tract 203.01, Berkeley County, South Carolina",2784,269,2492,233,270,140,0,13,0,13,0,13,0,13,22,32,22,32,0,13
1400000US45015020302,45015020302,"Census Tract 203.02, Berkeley County, South Carolina",6896,689,4132,508,2618,614,0,18,0,18,0,18,0,18,146,103,4,6,142,104
1400000US45015020401,45015020401,"Census Tract 204.01, Berkeley County, South Carolina",3834,572,2029,327,1703,466,2,4,13,32,22,34,4,5,61,50,21,35,40,37
1400000US45015020403,45015020403,"Census Tract 204.03, Berkeley County, South Carolina",6441,367,5819,389,361,186,0,18,69,64,54,86,51,68,87,90,0,18,87,90
1400000US45015020404,45015020404,"Census Tract 204.04, Berkeley County, South Carolina",4081,381,3387,368,604,217,12,20,67,62,0,13,0,13,11,21,0,13,11,21
1400000US45015020405,45015020405,"Census Tract 204.05, Berkeley County, South Carolina",2673,430,1036,178,1611,403,0,13,0,13,0,13,0,13,26,48,0,13,26,48
1400000US45015020503,45015020503,"Census Tract 205.03, Berkeley County, South Carolina",5013,540,3112,403,1711,360,62,81,0,18,0,18,0,18,128,133,12,21,116,134
1400000US45015020504,45015020504,"Census Tract 205.04, Berkeley County, South Carolina",4095,494,1979,342,1757,478,0,13,0,13,0,13,6,11,353,284,0,13,353,284
1400000US45015020505,45015020505,"Census Tract 205.05, Berkeley County, South Carolina",3045,433,1851,367,1183,330,0,13,0,13,0,13,0,13,11,18,0,13,11,18
1400000US45015020506,45015020506,"Census Tract 205.06, Berkeley County, South Carolina",5220,450,3134,443,1751,422,96,142,0,18,0,18,218,296,21,35,0,18,21,35
1400000US45015020600,45015020600,"Census Tract 206, Berkeley County, South Carolina",5978,460,4536,396,988,388,33,50,22,34,0,18,209,249,190,116,13,21,177,112
1400000US45015020707,45015020707,"Census Tract 207.07, Berkeley County, South Carolina",5966,613,4443,563,1073,560,91,111,197,185,0,18,0,18,162,113,0,18,162,113
1400000US45015020710,45015020710,"Census Tract 207.10, Berkeley County, South Carolina",5270,553,3499,441,1279,300,0,18,272,173,0,18,127,131,93,64,0,18,93,64
1400000US45015020711,45015020711,"Census Tract 207.11, Berkeley County, South Carolina",3317,406,2777,403,501,311,0,13,0,13,0,13,0,13,39,56,0,13,39,56
1400000US45015020712,45015020712,"Census Tract 207.12, Berkeley County, South Carolina",3403,629,3103,553,183,203,2,4,25,25,0,13,1,2,89,74,0,13,89,74
1400000US45015020713,45015020713,"Census Tract 207.13, Berkeley County, South Carolina",2298,292,1957,257,179,138,85,89,0,13,34,51,43,65,0,13,0,13,0,13
1400000US45015020714,45015020714,"Census Tract 207.14, Berkeley County, South Carolina",5788,567,4142,544,1429,386,21,36,0,18,0,18,156,240,40,34,0,18,40,34
1400000US45015020715,45015020715,"Census Tract 207.15, Berkeley County, South Carolina",4948,379,3574,431,791,241,361,286,18,24,0,13,80,96,124,88,0,13,124,88
1400000US45015020716,45015020716,"Census Tract 207.16, Berkeley County, South Carolina",7964,688,5614,690,1670,517,104,146,269,162,0,18,0,18,307,244,0,18,307,244
1400000US45015020717,45015020717,"Census Tract 207.17, Berkeley County, South Carolina",5200,536,3654,476,1135,287,12,18,161,163,0,18,22,37,216,149,8,14,208,150
1400000US45015020718,45015020718,"Census Tract 207.18, Berkeley County, South Carolina",4010,497,2834,473,976,259,0,13,91,104,0,13,0,13,109,141,0,13,109,141
1400000US45015020719,45015020719,"Census Tract 207.19, Berkeley County, South Carolina",6700,716,5024,796,1056,412,0,18,278,214,0,18,66,62,276,197,118,137,158,149
1400000US45015020720,45015020720,"Census Tract 207.20, Berkeley County, South Carolina",3485,240,2902,273,378,154,0,13,162,157,0,13,22,34,21,35,21,35,0,13
1400000US45015020721,45015020721,"Census Tract 207.21, Berkeley County, South Carolina",3744,470,2707,519,631,356,0,13,132,108,0,13,241,315,33,44,0,13,33,44
1400000US45015020722,45015020722,"Census Tract 207.22, Berkeley County, South Carolina",3449,338,3109,377,156,144,0,13,113,94,0,13,7,13,64,51,0,13,64,51
